epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1150.19,1.02261,0.69984,1.19679,0.56924,0.65544,0.61867,0.40298,1.49963,1.25956,1.42612,0.000810363,0.000810363,0.000810363
43,1176.87,0.99919,0.66958,1.1977,0.6475,0.6834,0.66521,0.40339,1.49907,1.17327,1.42547,0.000803031,0.000803031,0.000803031
44,1203.73,1.02735,0.66466,1.19147,0.71265,0.5586,0.61982,0.38185,1.42064,1.48586,1.38476,0.000795698,0.000795698,0.000795698
45,1231.36,1.0088,0.65055,1.19226,0.66723,0.60502,0.65988,0.41194,1.47201,1.31561,1.40877,0.000788366,0.000788366,0.000788366
46,1261.05,1.02505,0.68213,1.19108,0.64039,0.60238,0.626,0.40464,1.51261,1.31337,1.434,0.000781033,0.000781033,0.000781033
47,1286.8,0.98916,0.6431,1.17797,0.75212,0.64923,0.67483,0.38968,1.54994,1.20403,1.48393,0.0007737,0.0007737,0.0007737
48,1310.99,0.96242,0.63544,1.15256,0.72593,0.68898,0.65281,0.4077,1.39852,1.17209,1.38258,0.000766368,0.000766368,0.000766368
49,1334.82,0.93553,0.6292,1.15083,0.76643,0.62513,0.67849,0.41282,1.53913,1.26242,1.47962,0.000759035,0.000759035,0.000759035
50,1358.93,0.98771,0.64226,1.2021,0.72988,0.65355,0.69034,0.42468,1.48468,1.20195,1.43011,0.000751703,0.000751703,0.000751703
51,1383.21,0.95513,0.61497,1.16541,0.69784,0.66075,0.65748,0.3913,1.48554,1.27256,1.41661,0.00074437,0.00074437,0.00074437
52,1407.46,0.92881,0.61856,1.15314,0.66696,0.66104,0.6254,0.37801,1.52134,1.17108,1.45924,0.000737037,0.000737037,0.000737037
53,1431.77,0.91664,0.59217,1.13504,0.65781,0.6708,0.66723,0.45113,1.39583,1.16024,1.37013,0.000729705,0.000729705,0.000729705
54,1456.13,0.92103,0.60552,1.15219,0.66987,0.66233,0.64706,0.39464,1.4572,1.14115,1.42188,0.000722372,0.000722372,0.000722372
55,1482.12,0.89847,0.62505,1.13484,0.67538,0.61777,0.66151,0.43832,1.3931,1.25519,1.39806,0.00071504,0.00071504,0.00071504
56,1507.37,0.89499,0.60381,1.12734,0.66996,0.65274,0.62075,0.37266,1.47432,1.24505,1.46966,0.000707707,0.000707707,0.000707707
57,1532.63,0.91989,0.61059,1.14272,0.74071,0.67313,0.67947,0.42429,1.47915,1.25284,1.47313,0.000700374,0.000700374,0.000700374
58,1557.66,0.87573,0.59297,1.13181,0.60393,0.64419,0.61128,0.38851,1.44084,1.3579,1.43954,0.000693042,0.000693042,0.000693042
59,1581.77,0.87059,0.56127,1.11761,0.65907,0.64498,0.64175,0.37818,1.515,1.29165,1.50507,0.000685709,0.000685709,0.000685709
60,1606.05,0.8736,0.54805,1.12139,0.70927,0.66382,0.6459,0.41287,1.43515,1.17379,1.42198,0.000678377,0.000678377,0.000678377
61,1632.43,0.86467,0.55445,1.1209,0.69417,0.6486,0.62999,0.39663,1.43025,1.31489,1.41471,0.000671044,0.000671044,0.000671044
62,1658.07,0.86614,0.54602,1.10884,0.69303,0.68283,0.65942,0.41182,1.52004,1.22726,1.48187,0.000663711,0.000663711,0.000663711
63,1683.39,0.84807,0.57579,1.11076,0.74605,0.64751,0.65098,0.40816,1.40632,1.24635,1.40621,0.000656379,0.000656379,0.000656379
64,1708.02,0.86878,0.54603,1.11107,0.65211,0.66634,0.62099,0.40652,1.42904,1.17892,1.43797,0.000649046,0.000649046,0.000649046
65,1732.6,0.86657,0.5369,1.10527,0.64137,0.65733,0.58302,0.36984,1.41771,1.37607,1.41803,0.000641714,0.000641714,0.000641714
66,1756.06,0.81018,0.53172,1.07415,0.66223,0.64135,0.57865,0.34948,1.52157,1.33357,1.47739,0.000634381,0.000634381,0.000634381
67,1779.17,0.83327,0.57033,1.08767,0.68949,0.63196,0.61411,0.40745,1.44266,1.2875,1.44114,0.000627048,0.000627048,0.000627048
68,1802.03,0.86348,0.56167,1.10434,0.69212,0.65222,0.64693,0.39221,1.45544,1.26668,1.42534,0.000619716,0.000619716,0.000619716
69,1825.69,0.82715,0.54743,1.0758,0.70788,0.64892,0.6825,0.41555,1.44553,1.25751,1.43565,0.000612383,0.000612383,0.000612383
70,1848.38,0.81623,0.51776,1.06791,0.70285,0.64887,0.65997,0.41295,1.44501,1.31174,1.44343,0.000605051,0.000605051,0.000605051
71,1871.67,0.81294,0.53717,1.06834,0.69771,0.63657,0.62124,0.37554,1.4718,1.21508,1.47097,0.000597718,0.000597718,0.000597718
72,1892.22,0.81169,0.52673,1.09252,0.71128,0.63228,0.59797,0.39785,1.53909,1.25157,1.52919,0.000590385,0.000590385,0.000590385
73,1913.75,0.79951,0.53837,1.08798,0.68706,0.62251,0.62236,0.38547,1.41051,1.3285,1.43809,0.000583053,0.000583053,0.000583053
74,1934.19,0.8159,0.53327,1.10367,0.67909,0.65693,0.63751,0.39775,1.45622,1.22527,1.46038,0.00057572,0.00057572,0.00057572
75,1954.18,0.80553,0.50971,1.06811,0.68672,0.64913,0.63808,0.39067,1.49178,1.36837,1.46824,0.000568388,0.000568388,0.000568388
76,1975.68,0.76402,0.49691,1.04348,0.69087,0.60222,0.61422,0.38849,1.44619,1.27679,1.44752,0.000561055,0.000561055,0.000561055
77,1998.84,0.78208,0.514,1.08665,0.69261,0.65119,0.62428,0.36078,1.48677,1.36274,1.50456,0.000553722,0.000553722,0.000553722
78,2023.41,0.8125,0.51598,1.07977,0.69156,0.65535,0.6246,0.37341,1.49501,1.41958,1.49079,0.00054639,0.00054639,0.00054639
79,2046.76,0.75619,0.474,1.05753,0.7183,0.64946,0.66942,0.41132,1.47339,1.46789,1.48996,0.000539057,0.000539057,0.000539057
80,2071.04,0.77887,0.48811,1.06396,0.73135,0.63798,0.65877,0.39269,1.49985,1.38197,1.4884,0.000531725,0.000531725,0.000531725
81,2093.77,0.77837,0.50015,1.06439,0.72571,0.64686,0.69133,0.38726,1.50995,1.36208,1.51665,0.000524392,0.000524392,0.000524392
82,2116.32,0.7679,0.48097,1.04979,0.73301,0.64751,0.67672,0.40831,1.52115,1.30748,1.56755,0.000517059,0.000517059,0.000517059
83,2139.1,0.73682,0.46526,1.0432,0.71492,0.65432,0.68802,0.40388,1.51667,1.23354,1.58169,0.000509727,0.000509727,0.000509727
84,2161.49,0.72924,0.48325,1.04294,0.70819,0.66163,0.67818,0.42333,1.4346,1.33586,1.50014,0.000502394,0.000502394,0.000502394
85,2185.11,0.77091,0.47567,1.0571,0.69638,0.65194,0.66434,0.40097,1.49247,1.38147,1.52007,0.000495062,0.000495062,0.000495062
86,2207.87,0.73034,0.47251,1.04468,0.70146,0.66122,0.60058,0.3519,1.53119,1.36146,1.57137,0.000487729,0.000487729,0.000487729
87,2229.24,0.75389,0.45953,1.05721,0.70593,0.65825,0.58727,0.36175,1.51005,1.35177,1.57633,0.000480396,0.000480396,0.000480396
88,2251.28,0.69272,0.43244,1.0138,0.73595,0.65457,0.5881,0.33542,1.53333,1.45877,1.54589,0.000473064,0.000473064,0.000473064
89,2272.62,0.72782,0.45617,1.04473,0.7322,0.65541,0.6452,0.37611,1.5118,1.3824,1.52385,0.000465731,0.000465731,0.000465731
90,2293.27,0.71377,0.44057,1.03295,0.72725,0.62847,0.6696,0.40257,1.47492,1.36287,1.51682,0.000458399,0.000458399,0.000458399
91,2313.49,0.67455,0.42711,1.00076,0.7006,0.68459,0.69465,0.40223,1.48743,1.39882,1.56565,0.000451066,0.000451066,0.000451066
92,2333.53,0.73534,0.46178,1.05013,0.72361,0.62306,0.67603,0.41787,1.4888,1.50218,1.54714,0.000443733,0.000443733,0.000443733
93,2353.92,0.70981,0.4401,1.02652,0.70199,0.6264,0.67578,0.41043,1.58268,1.49793,1.60062,0.000436401,0.000436401,0.000436401
94,2375.57,0.66595,0.405,0.99469,0.69613,0.65457,0.66382,0.40304,1.5032,1.35539,1.51989,0.000429068,0.000429068,0.000429068
95,2397.09,0.70858,0.44202,1.01291,0.73439,0.65119,0.67192,0.40706,1.52116,1.43968,1.53015,0.000421736,0.000421736,0.000421736
96,2419.77,0.71428,0.44871,1.03082,0.72641,0.65259,0.67069,0.39868,1.56962,1.49123,1.56773,0.000414403,0.000414403,0.000414403
97,2440.6,0.66779,0.4252,0.99223,0.72681,0.64922,0.65651,0.38986,1.51234,1.42394,1.5588,0.00040707,0.00040707,0.00040707
98,2463.41,0.67729,0.4324,1.00312,0.71918,0.66028,0.66786,0.39319,1.54861,1.42999,1.58191,0.000399738,0.000399738,0.000399738
99,2485.16,0.65951,0.40622,0.98868,0.73026,0.65713,0.66968,0.41748,1.4959,1.37054,1.52291,0.000392405,0.000392405,0.000392405
100,2506.47,0.66231,0.41211,0.98099,0.71902,0.64987,0.68044,0.44509,1.43326,1.31872,1.5059,0.000385073,0.000385073,0.000385073
101,2527.28,0.64935,0.42788,0.99777,0.71463,0.6582,0.67561,0.43428,1.52952,1.37267,1.60772,0.00037774,0.00037774,0.00037774
102,2547.54,0.63662,0.43184,0.98063,0.72721,0.65617,0.68736,0.43857,1.48598,1.3985,1.54973,0.000370407,0.000370407,0.000370407
103,2567.33,0.63516,0.40964,0.98678,0.74203,0.65685,0.70518,0.4333,1.56378,1.39886,1.62836,0.000363075,0.000363075,0.000363075
104,2587.45,0.65283,0.42645,1.00712,0.72249,0.66107,0.6541,0.41179,1.53767,1.39305,1.58511,0.000355742,0.000355742,0.000355742
105,2609.17,0.62689,0.40841,0.98823,0.72754,0.65734,0.63438,0.40904,1.4756,1.3325,1.51831,0.00034841,0.00034841,0.00034841
106,2629.62,0.61624,0.407,0.97156,0.71977,0.6603,0.65601,0.41773,1.46677,1.38715,1.50403,0.000341077,0.000341077,0.000341077
107,2649.93,0.62422,0.41109,0.9957,0.74761,0.6494,0.69065,0.43924,1.49426,1.45536,1.52546,0.000333744,0.000333744,0.000333744
108,2671.16,0.61057,0.39362,0.97488,0.72111,0.65457,0.64889,0.41737,1.48474,1.54587,1.54794,0.000326412,0.000326412,0.000326412
109,2692.97,0.58817,0.38058,0.97015,0.71944,0.62877,0.6022,0.38771,1.52272,1.44039,1.61461,0.000319079,0.000319079,0.000319079
110,2714.34,0.63287,0.40767,1.01003,0.71854,0.62722,0.63221,0.39233,1.51377,1.44487,1.61365,0.000311747,0.000311747,0.000311747
111,2735.38,0.59645,0.39383,0.96758,0.6854,0.64879,0.64855,0.38338,1.56121,1.46227,1.64554,0.000304414,0.000304414,0.000304414
112,2756.57,0.59333,0.3723,0.97971,0.70502,0.62957,0.65457,0.42134,1.52577,1.43405,1.58041,0.000297081,0.000297081,0.000297081
113,2777.94,0.60697,0.38717,0.98505,0.69966,0.62677,0.62288,0.3914,1.54211,1.39788,1.58784,0.000289749,0.000289749,0.000289749
114,2799.13,0.60517,0.37756,0.97477,0.72638,0.65222,0.64559,0.38511,1.55156,1.41209,1.60572,0.000282416,0.000282416,0.000282416
115,2820.99,0.60254,0.39669,0.97951,0.73239,0.65273,0.64491,0.39173,1.56179,1.38441,1.61813,0.000275084,0.000275084,0.000275084
116,2843,0.57198,0.37387,0.95577,0.72468,0.65322,0.64662,0.38828,1.59565,1.44248,1.64679,0.000267751,0.000267751,0.000267751
117,2864.23,0.57098,0.37351,0.95013,0.73159,0.65457,0.63242,0.39116,1.56393,1.52477,1.62469,0.000260418,0.000260418,0.000260418
118,2885.41,0.54715,0.35708,0.95084,0.71383,0.62792,0.64266,0.39624,1.57881,1.50369,1.61836,0.000253086,0.000253086,0.000253086
119,2906.66,0.57696,0.36833,0.95817,0.72451,0.68066,0.6534,0.39624,1.56596,1.48265,1.62895,0.000245753,0.000245753,0.000245753
120,2927.08,0.54461,0.34713,0.94254,0.73253,0.6711,0.6714,0.40548,1.51538,1.4131,1.61681,0.000238421,0.000238421,0.000238421
121,2948.21,0.54204,0.35438,0.93616,0.72506,0.65447,0.66605,0.39414,1.54402,1.45858,1.64251,0.000231088,0.000231088,0.000231088
122,2968.16,0.55347,0.37114,0.95779,0.72746,0.65425,0.65645,0.38209,1.5861,1.42854,1.64806,0.000223755,0.000223755,0.000223755
123,2988.8,0.55734,0.3542,0.9628,0.72682,0.67301,0.6421,0.39908,1.57658,1.43953,1.66438,0.000216423,0.000216423,0.000216423
124,3008.93,0.53397,0.35263,0.93438,0.71867,0.67725,0.69668,0.42839,1.55928,1.51635,1.66433,0.00020909,0.00020909,0.00020909
125,3029.18,0.52982,0.34108,0.94577,0.74196,0.65914,0.66289,0.41425,1.53913,1.50377,1.64523,0.000201758,0.000201758,0.000201758
126,3049.6,0.53821,0.37079,0.93698,0.73417,0.65457,0.65139,0.42188,1.53777,1.50129,1.64638,0.000194425,0.000194425,0.000194425
127,3070.95,0.51385,0.33992,0.93532,0.72651,0.64987,0.63862,0.40326,1.55242,1.54774,1.64084,0.000187092,0.000187092,0.000187092
128,3094.57,0.52385,0.34138,0.93359,0.71301,0.62638,0.63893,0.41713,1.50981,1.46829,1.5831,0.00017976,0.00017976,0.00017976
129,3119.18,0.48952,0.3172,0.91544,0.7073,0.62722,0.63633,0.40031,1.53658,1.45466,1.63862,0.000172427,0.000172427,0.000172427
