epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7721,1.39822,2.86832,1.47126,0.45396,0.51311,0.5053,0.29761,1.451,2.3056,1.26819,0.000409357,0.000409357,0.000409357
2,75.4785,1.33529,1.72983,1.3318,0.28472,0.50245,0.31832,0.15706,1.61402,2.43259,1.50045,0.000819209,0.000819209,0.000819209
3,106.979,1.36017,1.65112,1.41709,0.49102,0.37999,0.28465,0.1484,1.69259,4.59488,1.73981,0.00122219,0.00122219,0.00122219
4,139.185,1.38024,1.51634,1.37651,0.6421,0.35955,0.47541,0.24103,1.59443,2.55066,1.47198,0.00121906,0.00121906,0.00121906
5,170.717,1.39527,1.45664,1.41202,0.37355,0.6148,0.47291,0.23394,1.68171,1.53055,1.53994,0.00120875,0.00120875,0.00120875
6,202.939,1.3506,1.36933,1.37757,0.50775,0.54674,0.51158,0.2586,1.57966,1.41988,1.49302,0.00119844,0.00119844,0.00119844
7,234.469,1.35902,1.33541,1.40756,0.50081,0.63087,0.53734,0.28174,1.60244,1.68834,1.5289,0.00118812,0.00118812,0.00118812
8,265.97,1.36712,1.31618,1.3854,0.49654,0.71447,0.5808,0.28542,1.62646,1.43846,1.49187,0.00117781,0.00117781,0.00117781
9,297.628,1.29651,1.2162,1.34954,0.43723,0.53347,0.51533,0.28545,1.64279,1.54963,1.4814,0.0011675,0.0011675,0.0011675
10,329.442,1.26819,1.19441,1.32389,0.50426,0.53592,0.54308,0.29321,1.54591,1.49308,1.44191,0.00115719,0.00115719,0.00115719
11,360.263,1.2917,1.16744,1.35127,0.50817,0.61798,0.55387,0.29029,1.67848,1.3587,1.49734,0.00114688,0.00114688,0.00114688
12,405.864,1.28874,1.18045,1.35255,0.58844,0.58992,0.59295,0.34202,1.55844,1.28925,1.46707,0.00113656,0.00113656,0.00113656
13,468.521,1.24314,1.13771,1.32805,0.51566,0.71907,0.64456,0.34401,1.59007,1.18248,1.47625,0.00112625,0.00112625,0.00112625
14,518.32,1.26506,1.0898,1.35425,0.64991,0.64342,0.62304,0.36758,1.5993,1.32072,1.45117,0.00111594,0.00111594,0.00111594
15,561.735,1.25457,1.03577,1.30541,0.67765,0.61681,0.66396,0.39608,1.51991,1.29803,1.42401,0.00110563,0.00110563,0.00110563
16,600.309,1.20495,1.03627,1.28118,0.65353,0.62538,0.66274,0.39716,1.47687,1.46033,1.41959,0.00109531,0.00109531,0.00109531
17,634.861,1.22119,0.99117,1.3032,0.50018,0.66644,0.56562,0.33491,1.53496,1.2935,1.38987,0.001085,0.001085,0.001085
18,667.091,1.24577,1.05752,1.31976,0.68252,0.67888,0.67273,0.3932,1.58221,1.34506,1.46399,0.00107469,0.00107469,0.00107469
19,699.491,1.18507,0.96379,1.2928,0.67448,0.64266,0.71077,0.41147,1.59751,1.47468,1.48436,0.00106437,0.00106437,0.00106437
20,733.279,1.19268,1.02448,1.28097,0.58273,0.67088,0.64368,0.38618,1.48744,1.21756,1.39413,0.00105406,0.00105406,0.00105406
21,766.003,1.1459,0.97425,1.26073,0.64045,0.67113,0.66521,0.35144,1.72085,1.58892,1.53287,0.00104375,0.00104375,0.00104375
22,798.713,1.15177,0.92445,1.24545,0.61988,0.69065,0.57399,0.33343,1.6134,1.29127,1.4561,0.00103344,0.00103344,0.00103344
23,833.99,1.1668,0.99475,1.26926,0.7218,0.65945,0.69486,0.39772,1.59357,1.24777,1.49583,0.00102312,0.00102312,0.00102312
24,867.857,1.14945,0.87877,1.25905,0.59562,0.58221,0.63315,0.3432,1.56471,1.4083,1.45201,0.00101281,0.00101281,0.00101281
25,901.269,1.1486,0.87674,1.26341,0.7965,0.66615,0.75475,0.43782,1.51242,1.32249,1.41563,0.0010025,0.0010025,0.0010025
26,935.431,1.15169,0.8809,1.2475,0.77335,0.6294,0.7286,0.41677,1.52906,1.19799,1.43622,0.000992188,0.000992188,0.000992188
27,967.118,1.07648,0.81136,1.20485,0.58832,0.70873,0.61597,0.36106,1.53146,1.47903,1.44296,0.000981875,0.000981875,0.000981875
28,998.573,1.0847,0.83166,1.21211,0.67674,0.71237,0.71193,0.41566,1.48163,1.32666,1.42348,0.000971562,0.000971562,0.000971562
29,1033.04,1.12411,0.77819,1.25545,0.72066,0.72348,0.70233,0.40414,1.50491,1.22426,1.44259,0.00096125,0.00096125,0.00096125
30,1064.09,1.07873,0.83737,1.21194,0.64535,0.71708,0.7096,0.41177,1.50769,1.11558,1.4129,0.000950937,0.000950937,0.000950937
31,1094.55,1.10809,0.84788,1.23745,0.74249,0.68194,0.73389,0.41345,1.63909,1.15253,1.53507,0.000940625,0.000940625,0.000940625
32,1124.37,1.08374,0.78907,1.20006,0.77241,0.69253,0.73192,0.39346,1.58335,1.35329,1.51164,0.000930313,0.000930313,0.000930313
33,1154.45,1.05593,0.75472,1.21188,0.73164,0.70239,0.70482,0.39628,1.53896,1.33186,1.42417,0.00092,0.00092,0.00092
