epoch,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.4411764705882353,1.6290289163589478,0.00019333333333333333,1.5272223472595214,5,,,,,
0.8823529411764706,1.3797017335891724,0.00018500000000000002,1.015891170501709,10,,,,,
1.2647058823529411,1.1384086608886719,0.00017666666666666666,0.6802687644958496,15,,,,,
1.7058823529411766,0.9699946641921997,0.00016833333333333335,0.4284541606903076,20,,,,,
2.088235294117647,1.0337226390838623,0.00016,0.3311015129089355,25,,,,,
2.5294117647058822,0.9567317366600037,0.00015166666666666668,0.22255632877349854,30,,,,,
2.9705882352941178,0.835521936416626,0.00014333333333333334,0.1624203085899353,35,,,,,
3.3529411764705883,0.9180557131767273,0.00013500000000000003,0.10646889209747315,40,,,,,
3.7941176470588234,0.8644745945930481,0.00012666666666666666,0.0944040834903717,45,,,,,
4.176470588235294,0.5792436599731445,0.00011833333333333334,0.0675855815410614,50,,,,,
4.617647058823529,1.250990867614746,0.00011000000000000002,0.0686319649219513,55,,,,,
5.0,1.5783369541168213,0.00010166666666666667,0.03934051990509033,60,,,,,
5.4411764705882355,0.7090290784835815,9.333333333333334e-05,0.04543299674987793,65,,,,,
5.882352941176471,0.8433862328529358,8.5e-05,0.030649474263191222,70,,,,,
6.264705882352941,0.7219443321228027,7.666666666666667e-05,0.02382964491844177,75,,,,,
6.705882352941177,0.4955667555332184,6.833333333333333e-05,0.02169225662946701,80,,,,,
7.088235294117647,0.5603395700454712,6e-05,0.020294930040836334,85,,,,,
7.529411764705882,0.6265854835510254,5.166666666666667e-05,0.01875559091567993,90,,,,,
7.970588235294118,0.33553338050842285,4.3333333333333334e-05,0.019256167113780975,95,,,,,
8.352941176470589,0.409451425075531,3.5e-05,0.01384354680776596,100,,,,,
8.794117647058824,0.7151737213134766,2.6666666666666667e-05,0.01453901082277298,105,,,,,
9.176470588235293,0.376443475484848,1.8333333333333333e-05,0.01400136947631836,110,,,,,
9.617647058823529,0.5292414426803589,1e-05,0.014429181814193726,115,,,,,
10.0,1.8485368490219116,1.6666666666666667e-06,0.014443044364452363,120,,,,,
10.0,,,,120,2205569777664000.0,0.2081463687121868,452.8071,2.208,0.265
