epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.47,1.00564,0.64358,1.20274,0.80571,0.8289,0.8328,0.51575,1.55247,1.02423,1.46773,0.000615781,0.000615781,0.000615781
43,1121.62,0.98492,0.59875,1.18285,0.88828,0.81711,0.82224,0.50094,1.44299,1.14847,1.37267,0.000600313,0.000600313,0.000600313
44,1146.57,0.94665,0.59199,1.14828,0.87291,0.81267,0.85037,0.56984,1.47016,1.15544,1.37797,0.000584844,0.000584844,0.000584844
45,1173.56,0.9661,0.6099,1.18598,0.86808,0.86748,0.86754,0.58611,1.51701,1.05864,1.44543,0.000569375,0.000569375,0.000569375
46,1199.29,0.90405,0.58786,1.16791,0.79444,0.80207,0.8181,0.54327,1.56075,1.1904,1.49782,0.000553906,0.000553906,0.000553906
47,1225.39,0.93755,0.54969,1.17103,0.87332,0.84129,0.82687,0.53155,1.62638,1.13402,1.53354,0.000538438,0.000538438,0.000538438
48,1251.91,0.90801,0.55549,1.13749,0.88566,0.86815,0.86003,0.53796,1.52459,0.99961,1.46826,0.000522969,0.000522969,0.000522969
49,1277.73,0.94294,0.57617,1.16998,0.89074,0.82596,0.84587,0.50212,1.60614,1.17888,1.51663,0.0005075,0.0005075,0.0005075
50,1302.92,0.93029,0.56465,1.16376,0.85801,0.86631,0.83326,0.51121,1.67798,1.32453,1.58711,0.000492031,0.000492031,0.000492031
51,1324.29,0.90473,0.55738,1.14526,0.89234,0.83773,0.84386,0.55915,1.47021,1.2803,1.45335,0.000476562,0.000476562,0.000476562
52,1350.97,0.89993,0.53356,1.13554,0.87977,0.87166,0.86214,0.54103,1.54501,1.41511,1.49447,0.000461094,0.000461094,0.000461094
53,1375.56,0.87467,0.50658,1.11833,0.90379,0.82524,0.84569,0.53181,1.55942,1.20095,1.49253,0.000445625,0.000445625,0.000445625
54,1398.91,0.92203,0.54951,1.16482,0.91031,0.86355,0.86253,0.52792,1.57151,1.10804,1.52878,0.000430156,0.000430156,0.000430156
55,1424.7,0.83482,0.50134,1.10669,0.88981,0.87801,0.85804,0.51924,1.55309,1.22337,1.51886,0.000414688,0.000414688,0.000414688
56,1448.42,0.81013,0.48759,1.10296,0.87619,0.82555,0.84817,0.53284,1.5636,1.17017,1.52352,0.000399219,0.000399219,0.000399219
57,1468.56,0.8445,0.51287,1.11144,0.74639,0.83639,0.81663,0.53006,1.48737,1.17245,1.47362,0.00038375,0.00038375,0.00038375
58,1488.79,0.80941,0.48647,1.11031,0.78001,0.8608,0.83582,0.52139,1.5759,1.34211,1.53639,0.000368281,0.000368281,0.000368281
59,1508.25,0.81457,0.47775,1.09531,0.80719,0.86711,0.84068,0.49287,1.54604,1.29635,1.49405,0.000352812,0.000352812,0.000352812
60,1527.7,0.79964,0.47941,1.09094,0.89298,0.78525,0.82247,0.50669,1.49122,1.28174,1.49052,0.000337344,0.000337344,0.000337344
61,1547.04,0.81362,0.47035,1.09156,0.77639,0.86123,0.84284,0.52958,1.49909,1.16979,1.50315,0.000321875,0.000321875,0.000321875
62,1566.65,0.79687,0.46645,1.0796,0.82851,0.82234,0.84875,0.53916,1.50184,1.21487,1.49814,0.000306406,0.000306406,0.000306406
63,1585.08,0.75678,0.45957,1.0688,0.80036,0.87672,0.84863,0.52514,1.57218,1.25538,1.53912,0.000290937,0.000290937,0.000290937
64,1603.03,0.78707,0.46535,1.08465,0.79184,0.87439,0.8441,0.50827,1.6629,1.31395,1.64379,0.000275469,0.000275469,0.000275469
65,1625.59,0.78288,0.4652,1.07135,0.80584,0.87474,0.84611,0.51849,1.60627,1.15732,1.56883,0.00026,0.00026,0.00026
66,1644.44,0.75437,0.44992,1.05199,0.80577,0.84925,0.85438,0.54892,1.56726,1.11273,1.54862,0.000244531,0.000244531,0.000244531
67,1662.09,0.75891,0.44264,1.06873,0.82459,0.85285,0.83598,0.55874,1.5575,1.21325,1.55514,0.000229063,0.000229063,0.000229063
68,1679.62,0.74472,0.44906,1.06833,0.81169,0.86649,0.85022,0.55526,1.55351,1.23989,1.57034,0.000213594,0.000213594,0.000213594
69,1698.31,0.7328,0.44496,1.05261,0.84197,0.85628,0.85057,0.55292,1.52676,1.29879,1.55003,0.000198125,0.000198125,0.000198125
70,1717.31,0.71128,0.43792,1.02869,0.84848,0.87157,0.8661,0.54627,1.64325,1.20248,1.63581,0.000182656,0.000182656,0.000182656
71,1736.7,0.69452,0.42883,1.04922,0.88178,0.84059,0.86889,0.54683,1.62,1.1968,1.63211,0.000167188,0.000167188,0.000167188
72,1755.84,0.68631,0.40182,1.04852,0.89673,0.86374,0.87768,0.54863,1.61759,1.12471,1.61644,0.000151719,0.000151719,0.000151719
73,1775.35,0.66217,0.37774,1.01915,0.89791,0.85322,0.87657,0.55968,1.62676,1.14811,1.62853,0.00013625,0.00013625,0.00013625
74,1794.73,0.6495,0.34786,1.01276,0.9038,0.82634,0.86441,0.55546,1.6598,1.23098,1.694,0.000120781,0.000120781,0.000120781
75,1812.8,0.64627,0.36081,1.01748,0.84925,0.85591,0.87201,0.56457,1.63633,1.24551,1.64655,0.000105312,0.000105312,0.000105312
76,1831.53,0.62083,0.34515,1.00211,0.86114,0.88153,0.88501,0.55931,1.65342,1.22371,1.65051,8.98437e-05,8.98437e-05,8.98437e-05
77,1850.5,0.61441,0.3441,0.99791,0.89695,0.87222,0.8929,0.56648,1.6405,1.24505,1.6492,7.4375e-05,7.4375e-05,7.4375e-05
78,1868.33,0.60214,0.34185,0.98713,0.89296,0.87417,0.88582,0.56327,1.60768,1.24833,1.61772,5.89062e-05,5.89062e-05,5.89062e-05
79,1885.85,0.59684,0.33505,0.97465,0.89513,0.8754,0.88617,0.5645,1.63396,1.28437,1.65132,4.34375e-05,4.34375e-05,4.34375e-05
80,1903.64,0.59384,0.33187,0.97401,0.893,0.87949,0.88173,0.56168,1.63113,1.26065,1.65015,2.79687e-05,2.79687e-05,2.79687e-05
